Available_equipment_id,Equipment_type,Amount_of_equipment,Place_id
1,80305,500287,94337
2,33530,173815,79635
3,42260,673507,6396
4,32009,896352,57497
5,25115,330766,48036
6,11654,542913,85825
7,68108,930051,62488
8,50932,467125,78170
9,92465,80657,57686
10,49286,229677,33994
11,2289,165101,69098
12,15588,803807,77098
13,23375,307762,42349
14,67832,983555,62874
15,776,944682,33239
16,70623,931625,3233
17,45250,329160,3490
18,63931,408080,56895
19,66730,94545,44487
20,92242,935803,37031
21,81961,67752,65152
22,87727,759825,56228
23,3882,561674,65516
24,45617,168071,36037
25,71770,90231,52245
26,98035,629402,76503
27,27805,909022,55461
28,78359,352581,41511
29,77197,344539,77182
30,81235,356382,11223
31,75000,866719,61745
32,98449,114098,81311
33,65214,832381,50258
34,61660,867935,78272
35,89189,155293,88911
36,46299,531853,96179
37,45584,13106,97561
38,69550,950049,205
39,72445,968764,85866
40,41906,81466,56612
41,12923,61439,22989
42,76906,939803,44526
43,65242,731351,81879
44,91006,849801,89078
45,81662,643536,27401
46,17806,373064,55614
47,58068,251279,54665
48,90033,563130,28831
49,97029,766752,29103
50,90796,167227,38766
51,32446,860833,56710
52,51773,777874,80768
53,78061,338854,93646
54,41387,479262,66632
55,206,23789,76779
56,2764,3850,24985
57,41776,786450,51923
58,84883,332109,87304
59,89971,986125,58058
60,20667,22412,8754
61,48136,263189,66819
62,53198,161803,85957
63,81567,123516,34247
64,57365,854089,48351
65,49918,645443,18876
66,11832,540590,37078
67,77236,325099,82792
68,56525,585569,95524
69,90824,104392,28647
70,5170,973986,24535
71,75144,911652,1978
72,20919,221479,16070
73,49385,586365,34562
74,90431,523535,13938
75,36917,81487,87568
76,81657,993128,11697
77,68709,509728,20570
78,43602,705449,84148
79,21565,505460,22577
80,14866,247801,37516
81,44564,982203,92053
82,14046,432079,60042
83,57826,132422,22232
84,65930,553138,24333
85,86288,47281,91481
86,26166,764987,91757
87,38979,792417,43991
88,16244,417770,39239
89,49959,181141,55663
90,47220,330406,3413
91,79768,10232,26396
92,16981,177564,61881
93,22882,179775,71583
94,7269,66720,8277
95,22802,623036,31305
96,21767,314928,71908
97,8224,548632,78568
98,9417,481207,73354
99,29572,856044,3580
100,70230,95920,41188
101,50772,327827,49062
102,66758,349284,89806
103,9737,36333,29374
104,3973,312317,24335
105,65577,723182,81949
106,46841,373057,13320
107,89402,508201,44497
108,89026,812703,87857
109,47413,736081,67869
110,26995,93312,71876
111,85115,153363,94055
112,80360,606383,50763
113,1047,878402,18416
114,54417,734402,22963
115,31227,745096,40092
116,33107,715127,45264
117,74597,444418,73327
118,89847,221870,54078
119,47599,185666,28938
120,67079,969425,45671
121,75785,41786,71735
122,33526,902726,99849
123,87436,309566,58982
124,68414,155831,62389
125,95140,286457,76658
126,78644,602739,45303
127,53505,204726,81915
128,6478,97968,28684
129,25238,747568,9259
130,61547,259266,95119
131,92090,764425,2754
132,59223,491589,3217
133,66105,10711,2797
134,27822,372022,17231
135,75410,293644,55379
136,24202,292928,33885
137,57976,424644,31778
138,57282,680586,69378
139,56282,219455,58137
140,57993,886940,36948
141,16039,982111,18568
142,18286,153343,83678
143,36105,185273,82919
144,9306,699872,3071
145,72790,967900,95738
146,75684,613888,11486
