Registration_id,Course_id,Client_id
1,80071,86261
2,55662,27203
3,37282,83764
4,1614,3644
5,55567,1555
6,83781,201
7,75342,86068
8,47001,33339
9,4727,67111
10,21387,23962
11,36486,45395
12,96739,69698
13,81015,40604
14,79600,72252
15,65466,78147
16,75698,5628
17,80785,94218
18,17214,57898
19,17795,66423
20,17884,57721
21,87748,79517
22,74325,72487
23,64890,14622
24,37919,30015
25,76026,94517
26,38920,70767
27,68129,34597
28,28559,64096
29,24144,31911
30,9085,97860
31,23042,31453
32,19175,34445
33,90310,97434
34,59239,86956
35,51210,50080
36,44078,91531
37,67072,24556
38,14922,15722
39,22454,83808
40,14951,230
41,30689,53624
42,18365,40215
43,2492,20596
44,70140,61028
45,42391,9397
46,62995,53782
47,28870,69802
48,58561,11819
49,88335,9134
50,6149,52236
51,48382,3378
52,62847,71008
53,56563,59700
54,2127,84176
55,94339,29166
56,55167,72041
57,78839,56831
58,25646,82399
59,24482,70543
60,83874,38336
61,93216,98647
62,74888,83866
63,28218,73079
64,17916,69308
65,93595,88490
66,3586,80026
67,92527,91282
68,31097,91914
69,74454,54230
70,75084,65032
71,73655,68429
72,14973,89179
73,44486,57947
74,21571,13361
75,86271,91939
76,18267,45743
77,61014,76406
78,15198,35705
79,32273,39325
80,82571,66394
81,50732,44045
82,81300,63774
83,26979,75598
84,29558,54966
85,9319,66096
86,93719,37921
87,52654,47333
88,22347,81994
89,52862,21986
90,54886,67723
91,77166,37128
92,14675,99516
93,90912,34451
94,86690,15297
95,42397,73807
96,82338,41523
97,41989,30598
98,65233,8420
99,55329,70350
100,95215,23968
101,86551,1170
102,214,13724
103,16438,30311
104,36366,33341
105,60270,57779
106,84340,59093
107,24814,18696
108,61094,73467
109,93431,34813
110,73067,90722
111,77294,92409
112,52919,69569
113,17834,48853
114,19003,57456
115,156,66454
116,59077,17277
117,6215,8848
118,84639,91321
119,10579,49497
120,8966,61476
121,52850,32564
122,6354,15537
123,8748,59929
124,98177,89462
125,65123,72694
126,32114,63514
127,7107,30588
128,27997,34043
129,46638,30302
130,15759,56747
131,40896,87258
132,7989,68371
133,23010,79696
134,25751,64440
135,81405,29787
136,20447,82471
137,59209,64398
138,5353,90706
139,18917,25873
140,64544,41507
141,76938,18249
142,66886,31374
143,26663,42103
144,9186,38490
145,35846,45366
146,12257,82909
147,19753,99895
148,44565,52067
149,84029,54
150,65196,42005
151,73643,54840
152,20746,73830
153,68652,80477
154,36314,66297
155,44601,73757
156,56447,89092
157,45990,11027
158,78293,95747
159,92487,40579
160,16964,60083
161,34445,48695
162,5127,62793
163,93926,85169
164,86301,34670
165,1590,98505
166,89644,68592
167,90771,11057
168,68013,72100
169,32426,56165
170,49642,74518
171,43116,73370
172,23317,16731
173,63716,49369
174,61995,86563
175,47982,30559
176,80578,11684
177,13774,53528
178,30129,72072
179,80388,15035
180,24446,3327
181,54778,63744
182,42545,99613
183,41086,86974
184,24065,98220
185,18163,48517
186,22093,34656
187,9645,71319
188,77435,29082
189,86998,61145
190,16487,60696
191,47736,13453
192,8680,49023
193,63419,73514
194,2178,33944
195,16112,38519
196,21335,15969
197,68,9151
198,50237,60455
199,69419,78466
200,19817,8910
201,56625,48324
202,14491,92510
203,22979,35216
204,51023,34768
205,92670,69547
206,94339,82447
207,76797,93305
208,17101,2185
209,63479,90297
210,91021,18637
211,55916,5841
212,69740,33426
213,51441,62401
214,52695,55875
215,10708,35914
216,32985,82040
217,50900,40407
218,45521,26472
219,82891,49703
220,17650,69982
221,38928,61663
222,39007,51641
223,41742,19032
224,1697,92093
225,10741,41826
226,21366,19393
227,12948,85763
228,61110,61426
229,70222,38706
230,48153,36840
231,45503,21373
232,2981,42361
233,29788,2475
234,16508,70524
235,99285,79780
236,53865,25772
237,64296,10206
238,3902,44672
239,46584,72043
240,31605,266
241,79098,50010
242,8042,86514
243,70962,22108
244,34303,90469
245,6670,19534
246,31617,62792
247,30284,64966
248,56296,69083
249,40373,59481
250,27081,56047
251,99370,56667
252,39115,45827
253,9069,33284
254,7358,75188
255,77834,96301
256,4723,38846
257,16644,88844
258,5485,78011
259,4594,2581
260,24107,63545
261,16828,5201
262,62507,77687
263,74919,62234
264,80010,95017
265,13942,47055
266,56148,52178
267,30731,86326
268,42829,11051
269,16353,49568
270,71667,4847
271,15939,23606
272,52994,41110
273,52209,52507
274,86862,81658
275,51912,43373
276,54903,51912
277,1730,50217
278,36514,84010
279,59197,15493
280,81815,4618
281,97945,77003
282,12457,13153
283,9872,47492
284,16126,33299
285,72850,80963
286,71949,60500
287,34478,20025
288,87515,50287
289,16153,40110
290,41249,65423
291,48599,58500
292,69005,57990
293,22368,13217
294,90061,74830
295,70329,53574
296,34727,11851
297,36226,56310
298,70177,58706
299,87541,65418
300,2973,67123
301,14646,19554
302,45053,79794
303,38632,98750
304,64818,69515
305,6442,36335
306,45910,15862
307,72682,91859
308,97756,63706
309,94316,98939
310,22825,38234
311,74988,67342
312,69848,63005
313,51179,53528
314,4369,97990
315,90019,15542
316,54327,33577
317,14021,88970
318,7466,76744
319,92190,27708
320,17077,52137
321,43234,45104
322,88317,75524
