Timetable_id,Personnel_id,Type_id
1,60124,83148
2,32322,38658
3,671,99488
4,82241,38381
5,41943,28137
6,74880,88427
7,96080,40392
8,10975,49541
9,83567,23155
10,20832,38027
11,3344,72343
12,4324,10916
13,39472,36349
14,11954,60876
15,23957,46292
16,48704,68032
17,27740,36113
18,79768,79401
19,7121,13864
20,90458,17416
21,52490,78441
22,84070,32113
23,64253,2887
24,43860,42169
25,80955,79563
26,56790,93626
27,93295,44289
28,61353,92881
29,68052,55450
30,57422,75779
31,11418,63515
32,45635,26016
33,46697,59220
34,84954,12926
35,76479,86004
36,26224,85801
37,82137,3540
38,16826,26161
39,48598,70607
40,47399,10492
41,29662,96426
42,87640,84686
43,98920,19906
44,60237,25556
45,63455,98511
46,99046,18810
47,76635,60028
48,98193,88689
49,88017,76870
50,94204,79693
51,79901,96214
52,69508,37177
53,95954,86076
54,77933,18265
55,17797,666
56,49774,3295
57,43045,2674
58,30140,84371
59,54991,11812
60,73252,47204
61,76583,78445
62,17377,57493
63,39140,77044
64,55495,70827
65,9819,84879
66,2262,46209
67,78988,80024
68,76163,33436
69,19479,52848
70,81930,36312
71,25518,25694
72,38225,86229
73,41806,21391
74,16689,63303
75,17199,32683
76,85803,5881
77,88185,63001
78,23128,63928
79,39181,33391
80,15328,58764
81,10049,81197
82,97169,86713
83,50496,67397
84,87814,61200
85,79531,41963
86,71842,49460
87,25098,58692
88,5207,213
89,91903,37670
90,43519,77131
91,28044,51161
92,62175,92372
93,28870,11801
94,21742,86541
95,55443,96621
96,57023,31830
97,69622,49919
98,71314,15459
99,79533,75482
100,14388,5426
101,73940,95853
102,77977,27236
103,14090,66018
104,73571,71315
105,82402,63599
106,79182,59477
107,87239,24301
108,70368,25902
109,66759,62075
110,51805,72175
111,64797,27771
112,71628,5107
113,80152,73601
114,39732,18041
115,76824,82643
116,86336,14202
117,86485,12656
118,15593,2855
119,86208,37102
120,78013,24445
121,77868,60777
122,3934,17510
123,27839,94245
124,35007,2240
125,57238,2810
126,19804,14574
127,84909,39002
128,98629,36002
129,44760,14120
130,57198,6205
131,3195,59539
132,30322,62778
133,85304,72894
134,22086,39710
135,22821,78776
136,92086,29412
137,3962,18107
138,98955,62199
139,45870,8750
140,17850,73166
141,32655,87261
142,90232,82868
143,74564,85698
144,60115,41408
145,77774,45741
146,17869,45058
147,87004,35071
148,63933,78177
149,79554,7086
150,25567,34565
151,56431,4982
152,46005,57745
153,30193,26245
154,62301,44325
155,5943,33057
156,44753,44249
157,43200,36021
158,26595,75761
159,85726,7219
160,72223,55517
161,25763,87578
162,88559,63619
163,38399,8959
164,42504,83814
165,97983,60043
166,22119,59452
167,66129,93392
168,75532,43992
169,15105,90851
170,81572,78743
171,47573,19359
172,99262,81671
173,92645,45036
174,75924,55204
175,68553,17985
176,41970,4253
177,23045,22144
178,28919,68226
179,53619,91346
180,33421,28297
181,97185,65050
182,14126,87494
183,20661,42120
184,87206,14224
185,41324,84465
186,7711,84249
187,23749,4362
