Certificate_id,Client_id,Course_id,Course_end_date
1,75643,98176,2020-08-20
2,56612,60720,2021-11-06
3,4501,32766,2020-02-21
4,44340,64104,2020-12-29
5,53839,155,2020-05-17
6,10133,27558,2021-11-11
7,16310,19979,2021-01-17
8,57653,50898,2022-03-05
9,25115,91135,2020-10-04
10,49246,40673,2020-06-17
11,17594,66445,2021-09-03
12,86371,78791,2020-06-17
13,3558,81564,2021-08-06
14,1629,23823,2021-06-26
15,47161,36431,2021-06-29
16,40314,24056,2020-11-24
17,8734,42488,2020-09-16
18,11129,6638,2021-01-03
19,44106,39397,2020-11-29
20,89599,63934,2021-10-13
21,17193,98410,2020-03-16
22,85721,97253,2022-04-18
23,48449,42289,2021-12-19
24,77454,20397,2022-03-27
25,53139,95857,2021-06-15
26,64029,12863,2021-03-25
27,98637,34326,2020-09-09
28,85622,92947,2020-08-25
29,2875,95597,2021-07-03
30,75591,31172,2020-04-30
31,99878,61016,2021-04-14
32,46426,30006,2020-04-22
33,39218,30273,2020-11-02
34,18546,25861,2021-10-07
35,3780,37772,2020-12-08
36,38076,97088,2022-01-06
37,54928,78766,2020-10-28
38,479,8880,2021-08-04
39,71278,18945,2021-08-17
40,21999,85274,2020-01-15
41,25620,8513,2021-05-06
42,9190,96061,2021-09-04
43,93866,86905,2020-02-19
44,49372,24086,2021-05-04
45,14564,65467,2020-09-12
46,33937,85050,2020-12-06
47,92035,12007,2022-02-14
48,3209,51796,2022-04-10
49,37123,33388,2020-01-07
50,21496,81482,2021-02-14
51,13984,85933,2022-04-01
52,46822,4083,2020-10-02
53,20094,79350,2021-11-28
54,21179,5433,2020-06-15
55,7392,54875,2022-03-01
56,26541,31941,2020-03-10
57,21518,43365,2021-12-19
58,4877,4105,2021-02-27
59,10258,51370,2021-09-17
60,61349,98879,2020-12-25
61,84590,15094,2021-10-09
62,52205,4018,2020-10-24
63,79662,90089,2020-08-26
64,52473,84284,2020-09-29
65,44732,94869,2020-11-22
66,79668,27221,2021-11-03
67,70349,47135,2021-02-06
68,19124,63237,2021-05-10
69,69651,88614,2021-05-12
70,77677,40201,2020-03-11
71,42876,29613,2020-09-07
72,58380,92928,2021-07-30
73,6302,56072,2020-12-23
74,99531,35032,2021-10-07
75,87802,89355,2021-07-24
76,89760,70246,2020-07-06
77,72717,17219,2021-10-14
78,94264,74573,2021-11-08
79,24261,41755,2020-03-20
80,73460,98673,2021-05-24
81,71784,82720,2020-01-05
82,4785,4884,2020-08-03
83,39836,84639,2020-10-01
84,32890,12312,2020-12-22
85,12063,96113,2021-08-20
86,29254,44510,2022-03-12
87,36021,74573,2020-04-23
88,30439,32946,2020-12-28
89,51171,48113,2020-04-21
90,67675,30307,2021-10-09
91,86634,32261,2021-05-07
92,13286,39770,2020-08-10
93,37180,44594,2021-10-28
94,18972,3375,2020-04-21
95,51670,49876,2020-11-30
96,81681,42704,2022-04-09
97,38932,717,2020-08-10
98,70326,17625,2021-08-27
99,88572,56473,2021-11-20
100,90790,73748,2020-12-19
101,57577,70875,2022-01-30
102,50021,45023,2021-09-28
103,72867,87916,2021-04-19
104,73798,48341,2021-02-27
105,46823,7282,2021-07-18
106,19836,23720,2021-02-04
107,22423,92539,2020-12-08
108,79085,79291,2020-12-22
109,96054,22440,2021-07-31
110,92485,90966,2021-09-08
111,88575,50993,2020-12-06
112,32068,89057,2020-02-05
113,82234,64030,2020-11-10
114,23491,20543,2022-01-01
115,19283,57467,2021-04-25
116,51231,99061,2020-01-26
117,89444,51436,2021-09-06
118,54672,74243,2021-10-06
119,11172,60153,2022-02-20
120,53742,53389,2020-08-29
121,14717,60549,2020-10-09
122,44936,98218,2021-09-07
123,79118,66522,2021-08-13
