Personnel_id,Type_id
41046,48307
87188,84114
75803,72571
46202,30136
11796,60741
90143,43871
75034,67376
35282,43375
97931,54614
97440,11689
97379,77955
59300,47156
34523,62639
49639,97320
87729,75406
38450,27543
75549,73042
20344,42037
48898,91831
8480,92260
81576,53800
54437,8557
62229,91053
66039,63026
1182,71211
38514,59042
20401,17838
93421,46822
83918,30940
41098,18856
53000,20950
5288,96874
90385,92094
1034,22827
9025,21887
36169,26216
47294,18311
97331,65551
53676,60614
39753,17172
12404,49150
55055,46957
42611,12443
16069,58422
42904,64293
79294,54669
6822,77342
17657,3076
72683,63480
60977,9249
61858,97339
2995,51467
47785,13497
36269,4985
96755,68537
94696,52905
19224,46316
479,20828
95323,17866
64237,12038
81864,58560
31164,32163
18612,1634
72590,15261
63531,79753
86599,4466
49959,34628
87197,30690
47114,37426
9332,78114
91981,26067
31176,27152
6020,78206
6341,48587
5935,1987
12630,12480
77212,68770
30906,30324
90998,56182
32886,48688
39008,29540
49365,54539
90281,77882
73552,54486
31749,84461
22323,94118
66485,19164
60682,92130
68025,82701
99108,79146
76883,71762
78612,91391
78058,9833
81602,25792
95584,60582
96741,1854
46396,33863
59986,46507
47996,6366
63192,74612
61266,7025
33628,6952
23517,86237
26979,46368
34693,18994
21466,37676
87454,56382
48907,88306
47878,32111
87548,67408
35758,54997
31760,46915
71199,34176
14340,4314
48000,93875
43546,46100
17726,76913
28124,71557
54383,35808
56997,72306
28173,25256
5174,8246
77218,66649
8227,83460
98880,38435
6720,61244
937,93183
22972,67395
30213,41241
88485,94563
48584,99413
85665,26173
60289,58855
18633,45188
36749,31173
13416,44275
72093,45306
57902,16659
13601,30125
5559,46121
35880,69650
45984,64326
51589,10569
44569,37554
96114,50092
65714,45057
10566,98592
18725,39570
71568,27559
40923,2844
5099,56931
18733,47122
27587,92568
68866,72503
16981,64218
65740,91497
20367,95555
84235,21964
7079,28700
62160,28062
1884,78063
11037,33962
90914,98445
66591,11167
1791,91663
61568,44709
52680,44306
66886,25837
92845,96485
42678,53118
63087,82444
51536,21460
52237,61303
29722,86774
36313,42047
40459,61958
76388,36641
64837,9248
58980,6229
49191,54542
12189,35904
13106,59521
2836,25632
65314,76746
79029,29250
73612,146
88779,73777
14240,25955
3421,79529
74708,20478
86332,74004
20247,50710
25294,35784
65325,90005
30072,4132
20662,13494
87418,80002
39117,62406
63804,5444
43970,22578
16272,21813
41130,72210
35171,96464
61564,93723
85822,20350
68082,77384
5974,94659
62770,14154
61443,15893
97529,75214
57238,31441
37691,50789
73044,95506
39469,95605
35219,63949
35434,93197
22647,31304
51031,78306
67865,92226
23110,87127
42105,42818
20381,28928
38453,54319
19501,53848
47415,36533
95554,63685
55293,36124
54363,24477
30329,75730
90378,28768
64337,63540
73310,90893
45800,45528
15224,73816
45909,69903
76946,43784
20331,75060
85166,93585
72250,73117
56855,77478
55291,25244
31646,81468
7094,26184
3938,42911
56496,84672
97115,10480
92831,27615
488,90389
82752,15839
55288,96222
48195,97771
71904,47767
43795,24710
99987,29853
94988,55020
60231,29942
84012,74015
63990,30731
9226,31413
15894,80274
56346,51988
75357,55995
60527,98644
65919,54016
24214,90528
59390,28020
59958,92415
14309,82076
89769,75335
43295,13275
31628,27927
11403,26020
13645,7221
14430,66152
62722,1347
350,12744
11576,11555
57012,90341
81622,30252
81435,1902
85962,18512
57849,97618
71197,64132
5889,7079
13876,9671
30686,29587
38108,96180
98197,25391
36507,99277
89230,62873
5488,27479
10161,9166
70089,68444
88679,64964
24172,38835
88227,72440
57211,48868
49116,81274
24090,80631
41248,88915
33346,45426
9849,29502
5319,15512
90329,40315
4348,6095
6595,21701
97696,54374
72836,9031
74737,50386
82935,19991
12307,23090
28368,19277
13744,72717
8944,99736
49247,89107
65528,55931
17497,14624
44559,36143
96539,90717
76504,26098
51164,11185
12390,71597
80045,25292
49543,93702
6877,40088
20076,13570
48552,97519
11223,86765
83397,85176
74978,85804
79163,55888
64388,21025
66397,3683
90968,74113
7201,2609
62186,788
92418,99327
44515,47606
62897,32137
77131,61793
14025,41523
20087,21762
40850,24436
50902,24764
50275,35616
66879,29433
95389,22072
57847,12033
19182,33944
68687,15199
58090,50495
55822,88823
16875,95677
70939,41456
57162,7106
66220,35381
44280,5869
96339,87918
21021,85099
17,24444
37595,99064
7537,12373
73239,54626
14863,14146
44293,9996
83184,89782
43843,74755
96362,9378
30270,73690
38856,71060
10522,72010
19729,28819
93144,70355
98089,99897
80429,52932
77346,59171
18539,64755
54147,71837
57542,15299
88681,64904
32349,79906
92347,91288
45682,7810
31326,58884
32115,74853
38865,80034
30375,86140
74272,41354
58256,52193
76904,56015
49168,15242
76548,34463
19445,27500
96881,81268
75267,64524
66401,54511
17368,17973
77331,36470
18658,94935
5284,85988
85510,99925
83387,54308
27247,16701
28647,12579
23657,50568
7587,19444
50019,40726
69183,56256
45145,46724
17925,85639
38516,69322
58030,74357
41134,29059
19596,98660
13679,74236
92127,92138
30024,66779
68410,22869
91865,69437
16991,88207
2986,20411
10401,46254
17369,71572
17118,83572
78969,65708
84967,90103
98326,52936
44334,71370
10727,47686
18662,15517
14568,34964
97329,77073
49174,84152
1595,22652
78044,27702
41510,35609
1475,68439
12028,85902
48023,74952
35539,80946
4163,45838
61969,95586
42725,71625
89259,71860
50955,51206
41618,7855
35202,1036
67266,81120
64304,62402
36781,10748
71846,14556
63128,31201
10780,52083
90486,9987
2566,63968
5891,53922
96474,16454
25319,68797
13704,24945
7116,84436
2095,94020
57605,5049
41486,17947
41446,93783
93712,13910
14140,44597
76332,71765
43468,50908
51839,10300
62907,83889
56337,29774
56415,95009
7535,20921
64989,49339
52442,53586
53399,66285
3442,41479
55498,91630
14372,8024
75763,46657
78227,41585
97023,82672
17354,71657
39775,53354
57443,16375
81669,75853
48236,1625
28100,8746
32173,27144
91482,84767
57714,69006
35916,50859
92162,15184
17313,54850
62911,3017
94505,13325
69204,29086
81892,12764
37166,39
1249,81558
53099,46456
72397,73519
88517,15879
69675,57636
78908,2121
45760,80284
11300,19098
31728,76849
17594,62181
74766,68338
19675,86833
12745,67151
85969,13956
87589,78617
89242,36345
45117,50045
27899,62067
23501,57226
61260,69465
58070,90508
65650,66459
80451,71912
59741,80296
8785,72113
92128,42978
48905,93654
62691,5661
87129,61989
73493,37896
99298,91480
71918,98239
57086,86668
44858,6868
41592,37731
4924,79775
60045,72002
32606,97288
35384,89874
88790,458
34048,95623
96830,73857
93563,49556
86912,34633
51995,16751
40347,5137
35735,51270
39846,13965
58251,42810
11883,66959
96274,71512
27750,26347
92002,2430
34356,50481
14105,51038
12378,79990
59312,64150
67705,71318
50356,32359
21718,24821
97655,25079
11221,82721
32542,95884
94253,22902
64168,10894
2233,1826
44980,24166
9247,39339
79051,18278
13852,4967
73408,23575
85200,79189
21111,90176
26888,4104
24421,69773
46261,78743
791,29057
54504,51435
21000,17438
29180,16890
1443,93628
26134,2915
73884,41687
69455,86955
7981,59111
29561,12808
43727,97568
15394,47764
71398,87866
63050,40576
81850,12152
22410,37963
89991,86504
25778,29670
42497,4502
57358,75997
34417,90961
43162,69615
16134,9560
79631,11840
