Purchased_equipment_id,Equipment_type,Amount_of_equipment,Order_time,Place_id,Class_id
1,51946,679040,27 years,14551,24384
2,6440,278280,261 minutes,7606,27457
3,36419,984,113 days,99076,1113
4,38883,250706,197 weeks,57403,88246
5,22858,257216,53 weeks,43063,86678
6,63781,894101,241 days,43971,613
7,75357,724981,232 years,80573,61253
8,38109,268873,284 days,8406,5595
9,83565,722271,44 minutes,33274,30244
10,76851,327319,252 minutes,99703,15115
11,52129,530007,12 years,47885,89642
12,49771,300072,67 mons,56943,3381
13,90919,509267,56 weeks,52292,33634
14,13832,607264,240 years,14427,94138
15,94781,783377,239 weeks,77274,67392
16,36991,808280,39 days,71081,56690
17,97933,55418,18 mons,52453,22049
18,10735,841169,264 mons,1500,38835
19,19153,817407,93 minutes,19974,50437
20,82214,956231,293 weeks,52945,46158
21,47674,268170,270 weeks,92380,15639
22,69158,363404,137 hours,21717,2103
23,26939,322728,254 minutes,38924,45965
24,81171,640440,83 weeks,37256,72189
25,83903,233265,10 weeks,52486,65398
26,10664,243520,126 years,63714,85636
27,43782,555368,153 hours,15443,69470
28,29246,845682,221 weeks,86378,73420
29,75796,271373,81 days,80036,65119
30,97064,480604,15 weeks,87935,82216
31,46325,620268,13 mons,64524,60216
32,32306,915483,171 hours,54813,73070
33,90997,264733,98 minutes,70514,56680
34,90433,175808,201 hours,48182,38928
35,58027,875231,173 minutes,72446,43147
36,57185,672174,266 minutes,13319,34881
37,33358,948738,35 weeks,95548,50208
38,42131,304773,25 mons,75738,27951
39,30943,506802,180 hours,1710,35838
40,69135,434784,125 days,36173,41664
41,77763,619174,30 hours,62476,38482
42,18567,407275,78 years,7342,91595
43,3200,128646,270 days,65029,59846
44,88766,413161,98 hours,80342,87663
45,14773,192695,150 minutes,26060,25953
46,74151,231929,184 mons,95660,97196
47,74730,388838,147 hours,94144,41293
48,7523,231207,71 hours,23496,40313
49,62168,428656,115 hours,14944,87474
50,70004,134215,201 mons,21344,67560
51,91999,547101,92 weeks,63894,68960
52,8089,146953,106 hours,44322,73796
53,15712,717374,51 years,36881,30644
54,37807,380285,120 mons,1479,69825
55,56468,844654,251 hours,98623,92687
56,10402,672239,68 years,99811,12995
57,97070,787226,6 hours,9113,13166
58,44941,368088,134 mons,35763,71201
59,33639,209180,237 weeks,90254,60662
60,782,678551,118 days,97928,66928
61,39750,10616,73 mons,78070,33685
62,97292,281922,241 mons,32469,23109
63,437,170180,298 years,11739,88858
64,68685,774196,113 minutes,98823,28024
65,91317,373628,77 weeks,44448,44582
66,26767,478283,208 hours,46961,63405
67,72621,431189,69 years,67250,48766
68,24247,791519,142 weeks,8702,45243
69,60439,353280,158 minutes,28297,25931
70,84809,892536,161 days,63078,54890
71,46998,2194,60 minutes,58367,39782
72,33918,277367,256 weeks,88622,10165
73,84695,665820,131 minutes,31416,44059
74,26738,606275,111 weeks,92532,69480
75,36556,518783,260 years,80199,5290
76,48510,27412,262 days,72260,98692
77,76344,402868,144 years,45068,5689
78,27856,240746,54 weeks,19009,72785
79,25179,329864,132 hours,31561,72254
80,77826,336647,270 mons,10151,47832
81,79660,958011,226 hours,54469,9229
82,69059,943168,171 hours,948,32214
83,23186,764006,183 hours,21383,55546
84,87260,89077,102 years,16686,48731
85,88254,348148,117 years,12219,40928
86,8863,688035,194 years,87213,75334
87,26580,64806,53 days,26108,26395
